Id,OppPerceel,OppBG,Opp1e,Opp2e,OppKelder,OppGarage,OppOprit,OppTerras,OppBaksteen,Slaapkamers,OpenHaard,Bouwjaar,Verbouwjaar,VerkoopJaar,VerkoopMaand,Kwaliteit,Conditie,VerkoopOmst,VerkoopPrijs
48,11096,1656,1656,0,1656,826,84,0,0,3,0,2006,2006,2007,7,8,5,Normaal,249700
49,4456,1452,736,716,736,0,33,0,0,2,0,1920,2008,2009,6,4,5,NietAf,113000
50,7742,955,955,0,955,386,66,0,0,3,0,1966,1966,2007,1,5,7,Normaal,127000
51,13869,1470,794,676,794,388,NA,0,0,3,0,1997,1997,2007,7,6,6,Normaal,177000
52,6240,1176,816,0,816,528,52,112,0,3,1,1934,1950,2006,9,6,6,Normaal,114500
53,8472,816,816,0,816,516,110,106,0,2,0,1963,1963,2010,5,5,5,Normaal,110000
54,50271,1842,1842,0,1842,894,68,857,0,0,1,1981,1987,2006,11,9,5,Normaal,385000
55,7134,1360,1360,0,384,572,60,0,0,3,1,1955,1955,2007,2,5,5,Normaal,130000
56,10175,1425,1425,0,1425,576,100,0,272,3,1,1964,1964,2008,7,6,5,Normaal,180500
57,2645,1739,983,756,970,480,24,115,456,3,0,1999,2000,2009,8,8,5,Abnormaal,172500
58,11645,1720,860,860,860,565,89,0,0,3,0,2004,2004,2006,8,7,5,Normaal,196500
59,13682,2945,1426,1519,1410,641,66,192,1031,3,1,2006,2006,2006,10,10,5,NietAf,438780
60,7200,780,780,0,780,352,60,196,0,2,0,1972,1972,2008,1,5,7,Normaal,124900
61,13072,1158,1158,0,1158,576,63,0,0,3,0,2004,2004,2006,5,6,5,NietAf,158000
62,7200,1111,581,530,530,288,60,0,0,3,0,1920,1996,2007,3,5,7,Normaal,101000
63,6442,1370,1370,0,1370,484,44,120,178,2,1,2006,2006,2007,10,8,5,Normaal,202500
64,10300,1710,902,808,576,480,50,12,0,3,0,1921,1950,2010,4,7,6,Normaal,140000
65,9375,2034,1057,977,1057,645,NA,576,573,3,0,1997,1998,2009,2,7,5,Normaal,219500
66,9591,2473,1143,1330,1143,852,76,192,344,4,1,2004,2005,2007,10,8,5,Normaal,317000
67,19900,2207,2207,0,1947,576,NA,301,287,3,1,1970,1989,2010,7,7,5,Normaal,180000
68,10665,1479,1479,0,1453,558,72,144,167,3,0,2003,2003,2007,6,7,5,Normaal,226000
69,4608,747,747,0,747,220,47,0,0,2,0,1945,1950,2010,6,4,6,Normaal,80000
70,15593,2287,1304,983,1304,667,81,0,0,3,1,1953,1953,2006,7,7,4,Normaal,225000
71,13651,2223,2223,0,2223,516,95,300,1115,3,2,1973,1973,2007,2,7,6,Normaal,244000
72,7599,845,845,0,845,360,69,0,0,2,0,1982,2006,2007,6,4,6,Normaal,129500
73,10141,1718,885,833,832,427,74,0,40,3,1,1998,1998,2009,12,7,5,Normaal,185000
74,10200,1086,1086,0,1086,490,85,0,104,3,0,1954,2003,2010,5,5,7,Normaal,144900
75,5790,1605,840,765,840,379,60,0,0,3,0,1915,1950,2010,5,3,6,Normaal,107400
76,1596,988,526,462,462,297,21,120,0,2,0,1973,1973,2009,11,4,5,Normaal,91000
77,8475,952,952,0,952,283,NA,0,0,2,0,1956,1956,2008,4,4,7,Normaal,135750
78,8635,1285,1072,213,672,240,50,0,0,2,0,1948,2001,2008,1,5,5,Normaal,127000
79,10778,1768,1768,0,1768,0,72,0,0,4,0,1968,1968,2010,4,4,5,Normaal,136500
80,10440,1230,682,548,440,440,60,74,0,2,0,1910,1981,2009,5,5,6,Normaal,110000
81,13000,2142,1182,960,896,509,100,0,576,4,1,1968,1968,2009,6,6,6,Normaal,193500
82,4500,1337,1337,0,1237,405,32,0,443,2,0,1998,1998,2006,3,6,5,Normaal,153500
83,10206,1563,1563,0,1563,758,78,144,468,3,1,2007,2007,2008,10,8,5,Normaal,245000
84,8892,1065,1065,0,1065,461,80,74,66,3,0,1960,1960,2007,7,5,5,Normaal,126500
85,8530,1474,804,670,384,400,NA,120,22,3,1,1995,1996,2009,5,7,5,Normaal,168500
86,16059,2417,1301,1116,1288,462,121,127,284,4,1,1991,1992,2006,4,8,5,Normaal,260000
87,11911,1560,684,876,684,400,122,100,0,3,1,2005,2005,2009,3,6,5,Normaal,174000
88,3951,1224,612,612,612,528,40,0,76,2,0,2009,2009,2009,6,6,5,NietAf,164500
89,8470,1526,1013,0,1013,0,105,0,0,2,0,1915,1982,2009,10,3,2,Abnormaal,85000
90,8070,990,990,0,990,0,60,0,0,3,0,1994,1995,2007,8,4,5,Normaal,123600
91,7200,1040,1040,0,0,420,60,0,0,2,0,1950,1950,2006,7,4,5,Normaal,109900
92,8500,1235,1235,0,1235,480,85,0,203,2,0,1961,1961,2006,12,5,3,Abnormaal,98600
93,13360,964,964,0,876,432,80,0,0,2,0,1921,2006,2009,8,5,7,Normaal,163500
94,7200,2291,1260,1031,1214,506,60,0,0,4,1,1910,1998,2007,11,6,6,Normaal,133900
95,9337,1786,905,881,824,684,69,0,0,3,0,1997,1997,2007,5,6,5,Normaal,204750
96,9765,1470,680,790,680,420,NA,232,68,3,1,1993,1993,2009,4,6,8,Normaal,185000
97,10264,1588,1588,0,1588,472,78,158,183,3,0,1999,1999,2006,8,7,5,Normaal,214000
98,10921,960,960,0,960,432,73,120,48,3,0,1965,1965,2007,5,4,5,Normaal,94750
99,10625,835,835,0,458,366,85,0,0,2,0,1920,1950,2010,5,5,5,Abnormaal,83000
100,9320,1225,1225,0,950,0,77,352,0,3,0,1959,1959,2010,1,4,5,Normaal,128950
101,10603,1610,1610,0,1610,480,NA,168,28,3,2,1977,2001,2010,2,6,7,Normaal,205000
102,9206,1732,977,755,741,476,77,192,336,3,1,1985,1985,2010,6,6,5,Normaal,178000
103,7018,1535,1535,0,0,410,64,0,0,4,0,1979,1979,2009,6,5,5,Allocatie,118964
104,10402,1226,1226,0,1226,740,94,0,0,3,0,2009,2009,2010,5,7,5,Normaal,198900
105,7758,1818,1226,592,1040,240,NA,0,600,4,2,1931,1950,2007,6,7,4,Normaal,169500
106,9375,1992,1053,939,1053,648,75,140,768,3,1,2003,2004,2008,8,8,5,Normaal,250000
107,10800,1047,1047,0,641,273,60,0,0,2,0,1885,1995,2007,8,4,7,Normaal,100000
108,6000,789,789,0,789,250,50,0,0,2,0,1948,1950,2008,4,5,5,NietAf,115000
109,8500,1517,997,520,793,0,85,0,0,3,0,1919,2005,2007,8,5,7,Normaal,115000
110,11751,1844,1844,0,1844,546,105,0,480,3,1,1977,1977,2010,1,6,6,Normaal,190000
111,9525,1855,1216,639,994,325,75,182,0,4,0,1954,1972,2006,10,6,4,Normaal,136900
112,7750,1430,774,656,384,400,NA,180,0,3,1,2000,2000,2010,4,7,5,Normaal,180000
113,9965,2696,1282,1414,1264,792,77,120,220,4,1,2007,2007,2007,10,7,5,NietAf,383970
114,21000,2259,2259,0,1809,450,NA,166,184,3,2,1953,1953,2007,10,6,5,Abnormaal,217000
115,7259,2320,1436,884,1028,180,61,224,0,3,1,1945,2002,2007,7,6,8,Normaal,259500
116,3230,1458,729,729,729,440,34,0,1129,2,1,1999,1999,2007,6,6,5,Normaal,176000
117,11616,1092,1092,0,1092,288,NA,0,116,3,1,1962,1962,2009,9,5,5,Normaal,139000
118,8536,1125,1125,0,1125,430,74,80,0,2,0,2006,2007,2007,4,5,5,NietAf,155000
119,12376,3222,1699,1523,1673,594,90,367,0,5,2,1990,1990,2010,5,7,5,Normaal,320000
120,8461,1456,728,728,728,390,65,0,0,3,1,2005,2006,2006,7,6,5,NietAf,163990
121,21453,988,988,0,938,540,NA,0,0,1,2,1969,1969,2006,10,6,5,Normaal,180000
122,6060,1123,772,351,732,264,50,0,0,3,0,1939,1950,2007,6,4,5,Normaal,100000
123,9464,1080,1080,0,1080,288,75,0,135,3,0,1958,1958,2008,6,6,7,Normaal,136000
124,7892,1199,1199,0,1199,530,55,0,0,2,0,1993,1993,2008,3,6,5,Normaal,153900
125,17043,1586,1586,0,1362,435,48,192,0,3,1,1979,1998,2009,1,6,5,Normaal,181000
126,6780,754,520,0,520,0,60,53,0,2,0,1935,1982,2006,6,6,8,Normaal,84500
127,4928,958,958,0,1078,440,NA,0,0,2,1,1976,1976,2007,2,6,5,Normaal,128000
128,4388,840,840,0,672,0,55,0,0,3,1,1930,1950,2007,6,5,7,Normaal,87000
129,7590,1348,660,688,660,453,69,188,266,3,1,1966,1966,2006,7,6,5,Normaal,155000
130,8973,1053,1053,0,1008,750,69,0,85,3,0,1958,1991,2006,7,5,7,Abnormaal,150000
131,14200,2157,1216,941,924,487,88,105,309,4,2,1966,1966,2006,5,7,6,Normaal,226000
132,12224,2054,1022,1032,992,390,NA,24,40,3,1,2000,2000,2009,7,6,5,Normaal,244000
133,7388,1327,1327,0,1063,624,75,0,0,3,0,1959,2002,2007,7,5,6,Normaal,150750
134,6853,1296,1296,0,1267,471,NA,192,136,2,0,2001,2002,2009,6,8,5,Normaal,220000
135,10335,1721,1721,0,1461,440,78,0,0,3,1,1968,1993,2006,7,5,6,Normaal,180000
136,10400,1682,1682,0,1304,530,80,98,288,3,1,1970,1970,2008,5,7,6,Normaal,174000
137,10355,1214,1214,0,1214,318,NA,0,196,3,1,1967,1967,2007,7,5,5,Normaal,143000
138,11070,1959,1959,0,1907,766,82,0,70,5,0,1988,1989,2006,7,7,5,Familie,171000
139,9066,1852,1004,848,1004,660,73,224,320,3,2,1999,2000,2008,12,8,5,Normaal,230000
140,15426,1764,928,836,928,470,65,276,0,3,0,1997,1997,2009,8,6,5,Normaal,231500
141,10500,864,864,0,864,0,70,0,0,3,1,1971,1971,2010,4,4,5,Normaal,115000
142,11645,1734,1734,0,1734,660,78,160,0,3,0,2005,2005,2006,1,7,5,Normaal,260000
143,8520,1385,910,475,910,720,71,0,0,4,0,1952,1952,2010,6,5,4,Normaal,166000
144,10335,1501,1501,0,1490,577,78,144,183,3,0,1999,1999,2009,6,7,5,Normaal,204000
145,9100,1728,1728,0,1728,504,70,0,336,6,0,1963,1963,2006,11,5,5,Abnormaal,125000
146,2522,1709,970,739,970,380,24,0,50,3,0,2004,2006,2006,4,6,5,Normaal,130000
147,6120,875,875,0,715,180,51,48,0,2,0,1931,1993,2009,11,5,7,Normaal,105000
148,9505,2035,884,1151,884,434,NA,144,180,3,1,2001,2001,2010,5,7,5,Normaal,222500
149,7500,1080,1080,0,1080,0,63,0,120,3,0,2004,2005,2008,4,7,5,Normaal,141000
150,6240,1344,896,448,896,240,NA,200,0,3,0,1936,1950,2006,4,5,4,Normaal,115000
151,10356,969,969,0,969,440,120,0,0,3,0,1975,1975,2007,1,5,6,Normaal,122000
152,13891,1710,1710,0,1710,866,107,0,436,2,1,2007,2008,2008,1,8,5,NietAf,372402
153,14803,1993,1097,896,825,495,NA,0,252,4,1,1971,1971,2006,6,6,5,Normaal,190000
154,13500,1252,1252,0,1602,564,NA,409,0,1,1,1960,1975,2008,3,6,7,Normaal,235000
155,11340,1200,1200,0,1200,312,84,0,0,4,0,1923,1950,2006,3,6,5,Familie,125000
156,9600,1096,572,524,572,0,60,0,0,2,0,1924,1950,2008,4,6,5,Normaal,79000
157,7200,1040,1040,0,0,625,60,0,0,2,0,1950,1950,2006,6,5,7,Normaal,109500
158,12003,1968,774,1194,774,680,92,0,84,4,1,2009,2010,2010,5,8,5,NietAf,269500
159,12552,1947,991,956,991,678,100,0,0,3,1,2004,2005,2010,5,7,5,Normaal,254900
160,19378,2462,1392,1070,1392,576,134,239,456,4,1,2005,2006,2006,3,7,5,NietAf,320000
161,11120,1232,1232,0,1232,516,NA,0,0,3,0,1984,1984,2008,6,6,6,Normaal,162500
162,13688,2668,1572,1096,1572,726,110,400,664,3,2,2003,2004,2008,3,9,5,Normaal,412500
163,12182,1541,1541,0,1541,532,95,0,226,3,1,2005,2005,2010,5,7,5,NietAf,220000
164,5500,882,882,0,882,0,55,0,0,1,0,1956,1956,2007,4,4,6,Normaal,103200
165,5400,1616,1149,467,1149,216,40,0,0,3,0,1926,2004,2007,10,6,7,Normaal,152000
166,10106,1355,808,547,644,0,62,140,0,4,0,1940,1999,2008,9,5,7,Normaal,127500
167,10708,1867,1867,0,1617,303,NA,476,0,2,3,1955,1993,2009,11,5,5,Normaal,190000
168,10562,2161,1610,551,1582,789,86,178,300,3,1,2007,2007,2007,11,8,5,NietAf,325624
169,8244,1720,840,880,840,440,62,100,0,3,1,2004,2004,2007,5,7,5,Normaal,183500
170,16669,1707,1707,0,1686,511,NA,574,653,2,1,1981,1981,2006,1,8,6,Normaal,228000
171,12358,1382,854,0,720,660,NA,237,0,2,0,1941,1950,2007,5,5,6,Normaal,128500
172,31770,1656,1656,0,1080,528,141,210,112,3,2,1960,1960,2010,5,6,5,Normaal,215000
173,5306,1767,1064,703,1064,504,44,441,0,2,1,1987,1987,2006,6,7,7,Normaal,239000
174,10197,1362,1362,0,1362,504,80,0,491,3,1,1961,1961,2008,6,6,5,Normaal,163000
175,12416,1651,1651,0,1606,616,47,192,132,3,1,1986,1986,2008,11,6,5,Normaal,184000
176,12615,2158,2158,0,1202,576,84,0,0,4,1,1950,2001,2007,6,6,7,Normaal,243000
177,10029,2060,1164,896,1151,521,97,0,268,4,1,1988,1989,2007,9,6,5,Normaal,211000
178,13650,1920,1252,668,1052,451,NA,0,0,4,1,1958,1958,2006,7,5,5,Normaal,172500
179,17423,2234,2234,0,2216,1166,63,0,748,1,1,2008,2009,2009,7,9,5,NietAf,501837
180,8520,968,968,0,968,480,60,0,0,2,0,1923,2006,2007,7,5,6,Normaal,100000
181,2117,1525,769,756,756,440,NA,0,456,3,1,2000,2000,2007,6,6,5,Normaal,177000
182,7588,1802,901,901,793,216,54,0,0,4,1,1920,1950,2006,7,7,6,Normaal,200100
183,9060,1340,1340,0,0,252,60,116,98,3,1,1957,2006,2007,6,5,6,Normaal,120000
184,11426,2082,1362,720,1362,484,63,280,0,3,0,2003,2003,2008,6,7,5,Normaal,200000
185,7438,1252,936,316,504,576,92,104,0,3,0,1908,1991,2006,6,5,8,Normaal,127000
186,22950,3608,1518,1518,1107,840,90,0,0,4,2,1892,1993,2006,6,10,9,Normaal,475000
187,9947,1217,1217,0,1188,497,NA,168,0,3,0,1990,1991,2009,6,7,5,Normaal,173000
188,10410,1656,808,704,660,180,60,0,0,3,0,1916,1987,2009,8,5,7,Normaal,135000
189,7018,1224,1224,0,1086,528,64,120,275,2,2,1979,1979,2009,6,5,5,Allocatie,153337
190,4923,1593,1593,0,1593,682,41,0,0,0,1,2001,2002,2008,8,8,5,Normaal,286000
191,10570,2727,1549,1178,853,440,70,0,0,3,2,1932,1994,2007,12,8,8,Normaal,315000
192,7472,1479,725,754,725,484,NA,0,138,4,0,1972,2004,2007,6,7,9,Normaal,184000
193,9017,1431,1431,0,1431,666,68,0,0,3,0,1999,1999,2009,9,7,5,Normaal,192000
194,2522,1709,970,739,970,380,24,0,50,3,0,2004,2004,2006,5,7,5,Normaal,130000
195,7180,864,864,0,864,352,60,0,0,3,0,1972,1972,2008,5,5,7,Normaal,127000
196,2280,1456,855,601,855,440,24,87,0,3,1,1976,1976,2009,7,6,6,Normaal,148500
197,9416,1726,1726,0,1726,786,79,171,205,3,1,2007,2007,2007,9,7,5,NietAf,311872
198,25419,3112,1360,1360,1360,795,174,0,0,4,1,1918,1990,2006,3,8,4,Abnormaal,235000
199,5520,2229,929,929,755,0,92,0,0,5,0,1912,1950,2009,7,6,6,Abnormaal,104000
200,9591,1713,1713,0,1713,856,76,0,262,3,1,2004,2005,2009,1,8,5,Normaal,274900
201,8546,1121,1121,0,1121,440,80,132,0,2,0,2003,2004,2010,3,4,5,Normaal,140000
202,10125,1279,1279,0,1196,473,75,238,0,3,2,1977,1977,2008,2,6,6,Normaal,171500
203,7000,1310,865,445,617,398,50,0,0,2,0,1924,1950,2006,5,6,6,Normaal,112000
204,4438,848,848,0,848,420,NA,149,205,1,1,2004,2004,2008,1,6,5,Normaal,149000
205,3500,1284,720,564,720,240,50,0,0,2,0,1947,1950,2009,4,5,7,Normaal,110000
206,11851,1442,1442,0,1424,500,99,0,0,3,0,1990,1990,2009,5,7,5,Normaal,180500
207,13673,1696,1696,0,1140,349,40,0,0,3,1,1962,1962,2007,3,5,5,Normaal,143900
208,12493,1100,1100,0,1100,312,NA,355,0,3,1,1960,1960,2008,4,4,5,Normaal,141000
209,14364,2062,1180,882,1157,454,NA,60,128,3,1,1988,1989,2007,4,7,5,Normaal,277000
210,8250,1092,1092,0,1092,504,75,0,260,3,0,1964,1964,2008,7,6,7,Normaal,145000
211,5604,864,864,0,864,0,67,0,0,2,0,1925,1950,2008,4,5,6,Normaal,98000
212,10420,1212,1212,0,1212,460,83,100,0,3,0,2009,2009,2010,3,6,5,Normaal,186000
213,8640,1852,932,920,900,644,72,168,0,3,1,2009,2009,2009,7,7,5,NietAf,252678
214,13568,990,990,0,990,576,43,224,0,3,0,1995,1995,2006,7,5,5,Normaal,156000
215,10900,1392,689,703,689,299,NA,0,153,3,0,1977,1977,2010,3,6,7,Normaal,161750
216,10011,1236,1236,0,1070,447,72,0,64,2,1,1957,1996,2006,5,5,6,Normaal,134450
217,8450,1436,1436,0,1436,484,65,139,266,3,0,2004,2004,2008,4,7,5,Normaal,210000
218,9906,1328,810,518,686,210,57,0,0,3,0,1925,1950,2006,9,4,4,Familie,107000
219,15660,1954,1137,817,798,431,NA,0,312,3,2,1939,2006,2008,5,7,9,Normaal,311500
220,3010,1248,1248,0,1248,438,43,108,16,2,0,2005,2006,2006,3,7,5,NietAf,167240
221,8990,1498,1498,0,1498,675,73,351,0,2,0,2006,2006,2006,4,7,5,NietAf,204900
222,8068,2267,1010,1257,1010,390,NA,120,0,4,1,2002,2002,2009,12,6,5,Normaal,200000
223,11475,1552,811,741,713,434,85,209,0,3,1,1975,1975,2006,2,6,6,Normaal,179900
224,10500,864,864,0,864,576,70,216,0,2,0,1971,1971,2009,3,4,6,Abnormaal,97000
225,13472,2392,2392,0,2392,968,103,248,922,3,1,2003,2003,2009,6,10,5,Normaal,386250
226,1680,1302,630,672,630,280,21,0,142,3,0,1971,1971,2009,5,5,5,Abnormaal,112000
227,9950,2520,1214,1306,1203,721,82,224,290,4,1,1995,1995,2007,6,7,5,Abnormaal,290000
228,1869,987,483,504,483,280,21,0,127,2,0,1970,1970,2008,9,6,6,Normaal,106000
229,8521,912,912,0,912,336,70,0,0,3,1,1967,1967,2010,5,5,5,Normaal,125000
230,3182,1555,1555,0,1373,430,43,143,16,2,1,2005,2006,2009,5,7,5,Normaal,192500
231,8760,1194,1194,0,1194,312,73,0,220,3,0,1959,1959,2010,4,6,6,Normaal,148000
232,15138,2794,1490,1304,1462,810,174,0,506,4,1,1995,1996,2009,7,8,5,Normaal,403000
233,1680,987,483,504,483,288,21,0,297,2,1,1972,1972,2006,6,6,5,Normaal,94500
234,10650,894,894,0,894,308,75,365,0,3,0,1976,1976,2010,2,5,6,Normaal,128200
235,7851,1960,860,1100,860,440,NA,288,NA,4,2,2002,2002,2010,5,6,5,Normaal,216500
236,1680,987,483,504,483,264,21,0,604,2,0,1971,1971,2008,8,6,3,Normaal,89500
237,8773,1414,1414,0,1414,494,65,132,98,3,0,2004,2004,2010,5,7,5,Normaal,185500
238,9453,1744,1014,730,996,457,NA,370,0,3,0,1993,2003,2010,2,7,7,Normaal,194500
239,12030,1694,1694,0,1694,818,93,168,254,3,0,2007,2007,2007,12,8,5,NietAf,318000
240,8741,1487,798,689,735,220,52,0,0,3,1,1945,1950,2010,4,6,4,Normaal,113000
241,9000,1566,1566,0,1566,750,75,144,36,3,0,2008,2008,2010,4,8,5,Normaal,262500
242,3880,866,866,0,686,0,40,58,0,2,0,1945,1997,2007,8,5,9,Normaal,110500
243,5000,1440,889,551,540,352,63,0,0,3,0,1900,1950,2006,4,5,4,Normaal,79000
244,10762,1217,626,591,626,288,75,0,0,3,1,1980,1980,2009,4,6,6,Normaal,120000
245,8880,2110,1222,888,948,463,NA,0,0,3,2,1994,2002,2010,5,7,5,Normaal,205000
246,10400,1872,1872,0,1845,604,80,197,102,3,1,1988,1988,2006,6,7,5,Normaal,241500
247,9142,1928,908,1020,1020,440,69,0,0,4,0,1910,1950,2006,4,6,8,Normaal,137000
248,11310,1375,1375,0,1367,451,75,0,0,2,1,1954,1954,2006,6,6,5,Normaal,140000
249,11317,1668,840,828,840,500,72,144,101,3,0,2003,2003,2007,9,7,5,Normaal,180000
250,159000,2144,1444,700,1444,389,NA,0,472,4,2,1958,2006,2007,6,6,7,Normaal,277000
251,5350,1306,1306,0,728,0,55,263,0,3,0,1940,1966,2010,5,3,2,Normaal,76500
252,4750,1625,1625,0,1573,538,44,123,481,2,1,2006,2007,2007,12,8,5,Familie,235000
253,8366,1640,798,842,798,520,65,138,0,3,0,2004,2004,2008,12,6,5,Normaal,173000
254,9350,1302,1302,0,1302,309,85,333,108,3,0,1964,1991,2007,10,6,7,Normaal,158000
255,8400,1314,1314,0,1314,294,70,250,0,3,0,1957,1957,2010,6,5,6,Normaal,145000
256,8738,2291,1005,1286,975,429,66,192,302,4,1,1999,1999,2006,2,7,5,Normaal,230000
257,8791,1728,864,864,864,673,64,216,0,3,0,2003,2003,2008,5,6,5,Normaal,207500
258,8814,1604,1604,0,1604,660,68,123,180,3,1,2006,2006,2009,3,7,5,Abnormaal,220000
259,12435,1792,963,829,963,564,80,0,172,3,1,2001,2001,2008,5,7,5,Normaal,231500
260,12702,882,882,0,0,308,70,0,0,2,0,1956,1956,2008,12,5,5,Normaal,97000
261,19296,1382,1382,0,1362,884,120,0,399,3,1,1962,1962,2009,5,6,5,Normaal,176000
262,9588,2574,1482,1092,1482,868,69,0,270,3,1,2007,2007,2007,11,8,5,NietAf,276000
263,8471,1212,1212,0,506,492,88,292,46,3,1,1977,1995,2006,7,6,7,Normaal,151000
264,5500,1316,926,0,926,484,50,0,0,3,0,1929,2001,2010,4,5,7,Normaal,130000
265,5232,764,764,0,680,504,30,0,0,2,0,1925,2004,2008,6,5,5,Normaal,73000
266,12090,1422,1422,0,1422,576,78,276,210,3,1,1981,1981,2008,6,6,6,Normaal,175500
267,11207,1511,802,709,802,413,70,95,0,3,1,1997,1997,2006,6,6,5,Normaal,185000
268,8400,2192,1052,720,720,240,60,262,0,4,1,1939,1997,2008,7,5,8,Normaal,179500
269,6900,778,778,0,740,924,71,0,0,2,1,1940,1955,2008,2,5,6,Normaal,120500
270,7917,1113,1113,0,1143,504,NA,370,174,3,1,1976,1976,2007,5,6,7,Normaal,148000
271,10728,1939,1095,844,1095,1053,84,192,0,3,1,2006,2006,2006,8,8,5,NietAf,266000
272,39104,1363,1363,0,1385,439,73,81,0,2,2,1954,2005,2008,4,7,7,Normaal,241500
